,time [ns],amplitude [MHZ]
0,0.0,0.0
1,1.0,0.20355229085414225
2,2.0,0.2594035111028481
3,3.0,-0.01147703044802831
4,4.0,-0.21305606463923313
5,5.0,-0.37163685418606984
6,6.0,-0.5767923070930392
7,7.0,-0.8470529735381263
8,8.0,-1.1036943194146802
9,9.0,-1.2891778633082895
10,10.0,-1.4517546275998041
11,11.0,-1.6715871616577611
12,12.0,-1.9410798967871044
13,13.0,-2.1780823134757386
14,14.0,-2.348774513795602
15,15.0,-2.516300113309669
16,16.0,-2.744909140814345
17,17.0,-3.0046627446429137
18,18.0,-3.2180716197524113
19,19.0,-3.375427737804624
20,20.0,-3.5469315340077245
21,21.0,-3.776643250593138
22,22.0,-4.018042594703679
23,23.0,-4.205194000449796
24,24.0,-4.350255984217216
25,25.0,-4.522642846945067
26,26.0,-4.744512343799475
27,27.0,-4.9597578125406
28,28.0,-5.119140316767278
29,29.0,-5.252195221957494
30,30.0,-5.420379706179701
31,31.0,-5.624921474950968
32,32.0,-5.807626746602012
33,33.0,-5.93882425938063
34,34.0,-6.05930011798368
35,35.0,-6.216733855982299
36,36.0,-6.394871894887343
37,37.0,-6.540738989188791
38,38.0,-6.644478858503553
39,39.0,-6.751055450057031
40,40.0,-6.890591106857783
41,41.0,-7.034762281875725
42,42.0,-7.142164253614336
43,43.0,-7.2203763517906445
44,44.0,-7.311248361859034
45,45.0,-7.426138281687374
46,46.0,-7.531334064934973
47,47.0,-7.601563039424282
48,48.0,-7.657222314063743
49,49.0,-7.730366838347173
50,50.0,-7.815089493831807
51,51.0,-7.879444567672511
52,52.0,-7.9163532834872985
53,53.0,-7.95284658226271
54,54.0,-8.006041651995465
55,55.0,-8.056620888308009
56,56.0,-8.0811160130748
57,57.0,-8.089926660713482
58,58.0,-8.109815064169684
59,59.0,-8.140156278410032
60,60.0,-8.153715580713802
61,61.0,-8.140784898490109
62,62.0,-8.126048096308494
63,63.0,-8.129360681372434
64,64.0,-8.132249169565421
65,65.0,-8.105794042103945
66,66.0,-8.057100359291068
67,67.0,-8.020226401405745
68,68.0,-8.002776372456465
69,69.0,-7.970802598586977
70,70.0,-7.89972938564985
71,71.0,-7.813989275913
72,72.0,-7.751384297602081
73,73.0,-7.7040624081905875
74,74.0,-7.626814648232162
75,75.0,-7.504394349245594
76,76.0,-7.3768222794394465
77,77.0,-7.2803171496991155
78,78.0,-7.1909371353479346
79,79.0,-7.05747757536324
80,80.0,-6.877409414392429
81,81.0,-6.703044878871802
82,82.0,-6.564881104477256
83,83.0,-6.424796348239733
84,84.0,-6.231181841036193
85,85.0,-5.995830749685196
86,86.0,-5.779276271425932
87,87.0,-5.603890908196106
88,88.0,-5.421423313020719
89,89.0,-5.185117513714566
90,90.0,-4.92086168829468
91,91.0,-4.693073529198827
92,92.0,-4.515288805144582
93,93.0,-4.334464223914376
94,94.0,-4.112776004851345
95,95.0,-3.887713228573722
96,96.0,-3.722784401809243
97,97.0,-3.6228291293902974
98,98.0,-3.535053012480615
99,99.0,-3.4320901535352775
100,100.0,-3.357126190403515
101,101.0,-3.3664726380375725
102,102.0,-3.4560141761785594
103,103.0,-3.576019914954876
104,104.0,-3.7069589514646504
105,105.0,-3.8875376499812067
106,106.0,-4.158563583274253
107,107.0,-4.506507607459159
108,108.0,-4.88529364003334
109,109.0,-5.276474222950414
110,110.0,-5.701887450350389
111,111.0,-6.179998230887787
112,112.0,-6.69128877778824
113,113.0,-7.195729279151575
114,114.0,-7.668707912894718
115,115.0,-8.10719371502501
116,116.0,-8.510959205431167
117,117.0,-8.867892102585525
118,118.0,-9.152354912631255
119,119.0,-9.332275560147806
120,120.0,-9.385128894551485
121,121.0,-9.31339415319168
122,122.0,-9.135715619350576
123,123.0,-8.853876698641718
124,124.0,-8.439754389541628
125,125.0,-7.875403735868699
126,126.0,-7.1974810321738225
127,127.0,-6.4749202974324955
128,128.0,-5.745289386421843
129,129.0,-5.0000320926463155
130,130.0,-4.2450946322871586
131,131.0,-3.550921827598979
132,132.0,-3.0104788635193693
133,133.0,-2.663317531778526
134,134.0,-2.491753740531855
135,135.0,-2.4844647059165728
136,136.0,-2.6730977502827047
137,137.0,-3.0895624688212076
138,138.0,-3.7083944681030987
139,139.0,-4.455117930614765
140,140.0,-5.255420022574973
141,141.0,-6.056705127261774
142,142.0,-6.811105239811333
143,143.0,-7.4570731934929
144,144.0,-7.922086754463006
145,145.0,-8.134716196428043
146,146.0,-8.043388156816288
147,147.0,-7.642703918961118
148,148.0,-6.978998438627223
149,149.0,-6.115387278927411
150,150.0,-5.098603169589779
151,151.0,-3.986932370122543
152,152.0,-2.8985166047833513
153,153.0,-1.991590016047866
154,154.0,-1.3874905194296014
155,155.0,-1.1260847273277161
156,156.0,-1.2016120728736166
157,157.0,-1.6105167248795966
158,158.0,-2.333705074566401
159,159.0,-3.292868916077999
160,160.0,-4.348398878189445
161,161.0,-5.338138114460734
162,162.0,-6.1150781068829225
163,163.0,-6.5660791587034595
164,164.0,-6.6245255123797655
165,165.0,-6.270459485579492
166,166.0,-5.517337219893337
167,167.0,-4.419200168092556
168,168.0,-3.1064476511216825
169,169.0,-1.7921061278165846
170,170.0,-0.6992871867977525
171,171.0,0.022499219332103457
172,172.0,0.3045164009429771
173,173.0,0.12310086521390125
174,174.0,-0.5054813321159125
175,175.0,-1.4919817754488198
176,176.0,-2.661174192842917
177,177.0,-3.792156637069772
178,178.0,-4.670740724537586
179,179.0,-5.128521836611033
180,180.0,-5.075074204675766
181,181.0,-4.5104597769200065
182,182.0,-3.5068329638701883
183,183.0,-2.189702440505218
184,184.0,-0.7543219556426418
185,185.0,0.5358526573425284
186,186.0,1.4251239222563945
187,187.0,1.761583538984467
188,188.0,1.5311876324872813
189,189.0,0.8182262942634904
190,190.0,-0.2359942202913081
191,191.0,-1.4396955497816328
192,192.0,-2.5645854795404084
193,193.0,-3.3811186656483616
194,194.0,-3.700920402628669
195,195.0,-3.422029578149004
196,196.0,-2.5722893140755754
197,197.0,-1.3149844364391658
198,198.0,0.11305545820950119
199,199.0,0.41925005884109023
200,200.0,-8.014704182901526e-16
