,time [ns],amplitude [MHZ]
0,0.0,0.0
1,1.0,1.5842087568348913
2,2.0,3.1793095604222565
3,3.0,3.21136348813746
4,4.0,3.228050786462165
5,5.0,3.197662887970541
6,6.0,3.1614926790560443
7,7.0,3.169190808321784
8,8.0,3.2022332274745136
9,9.0,3.2035640823929223
10,10.0,3.1659127211460065
11,11.0,3.14215209724161
12,12.0,3.1632907136672546
13,13.0,3.191056165523029
14,14.0,3.1779484561383473
15,15.0,3.1402505266679195
16,16.0,3.1320387734080914
17,17.0,3.1618234513854238
18,18.0,3.180162050619118
19,19.0,3.156474336143707
20,20.0,3.1256030396542545
21,21.0,3.1335333011864734
22,22.0,3.166836248054976
23,23.0,3.1742823556778026
24,24.0,3.1458319848008136
25,25.0,3.127367990605413
26,26.0,3.1499250350968393
27,27.0,3.1824020915563995
28,28.0,3.1802355127313353
29,29.0,3.1536899225919663
30,30.0,3.15139137515457
31,31.0,3.185774007295991
32,32.0,3.2146647029659907
33,33.0,3.2065256122641643
34,34.0,3.188443646456235
35,35.0,3.204143333561182
36,36.0,3.247217110071587
37,37.0,3.271812983664553
38,38.0,3.263021369122073
39,39.0,3.259171816461536
40,40.0,3.2930882716088608
41,41.0,3.342248790893183
42,42.0,3.3640486207865394
43,43.0,3.360854472549267
44,44.0,3.3758318986464384
45,45.0,3.4272056051349393
46,46.0,3.4810679840620136
47,47.0,3.5036458450345243
48,48.0,3.5126061284242533
49,49.0,3.5497645571645147
50,50.0,3.6176589566747355
51,51.0,3.6765916472252664
52,52.0,3.7052696088032113
53,53.0,3.73284732237741
54,54.0,3.7946019610975714
55,55.0,3.878740792128201
56,56.0,3.9452763280437018
57,57.0,3.9867835309433213
58,58.0,4.039217927063123
59,59.0,4.1277437291300165
60,60.0,4.229379733539473
61,61.0,4.308536623906839
62,62.0,4.370866308669866
63,63.0,4.454424394174282
64,64.0,4.572736616787144
65,65.0,4.695645613244511
66,66.0,4.79526334160498
67,67.0,4.887903443837636
68,68.0,5.009698014160729
69,69.0,5.16309655224706
70,70.0,5.314777152118955
71,71.0,5.446048791250324
72,72.0,5.580702578801343
73,73.0,5.750195509697126
74,74.0,5.948034849927048
75,75.0,6.141042944300296
76,76.0,6.319344258734992
77,77.0,6.511109174633417
78,78.0,6.742068721311059
79,79.0,6.999538898245173
80,80.0,7.2525173251475294
81,81.0,7.498140301122012
82,82.0,7.76658337525774
83,83.0,8.078463684464245
84,84.0,8.417215495389305
85,85.0,8.754349473940733
86,86.0,9.091632013168187
87,87.0,9.459922373780005
88,88.0,9.876245776491341
89,89.0,10.321188445021312
90,90.0,10.767407940426514
91,91.0,11.219171824661192
92,92.0,11.70770273608976
93,93.0,12.247640099762663
94,94.0,12.816149176192015
95,95.0,13.384661707166343
96,96.0,13.958635019109021
97,97.0,14.569978140995916
98,98.0,15.231031453826489
99,99.0,15.913951680828458
100,100.0,16.5870779758514
101,101.0,17.257122289233088
102,102.0,17.957520962598988
103,103.0,18.697875805052806
104,104.0,19.44450658178973
105,105.0,20.16320702362123
106,106.0,20.86411640451466
107,107.0,21.583918188834588
108,108.0,22.32986157164251
109,109.0,23.063867264480187
110,110.0,23.75256387329693
111,111.0,24.413045606215864
112,112.0,25.086750477239494
113,113.0,25.778747788707683
114,114.0,26.44847882372677
115,115.0,27.06661383715029
116,116.0,27.658433004002674
117,117.0,28.26833537051169
118,118.0,28.896944429838225
119,119.0,29.502022311825613
120,120.0,30.06040521012555
121,121.0,30.604320728577566
122,122.0,31.17835516348848
123,123.0,31.779434876072763
124,124.0,32.368560903250874
125,125.0,32.93283994740735
126,126.0,33.5097924303345
127,127.0,34.14244484168534
128,128.0,34.82805460756943
129,129.0,35.532786548441166
130,130.0,36.24557717108149
131,131.0,36.99362563157001
132,132.0,37.80553200403081
133,133.0,38.67105834183146
134,134.0,39.547841597183115
135,135.0,40.40491173650174
136,136.0,41.244897005547415
137,137.0,42.08446419505975
138,138.0,42.91848638387424
139,139.0,43.710894871616475
140,140.0,44.43026257302432
141,141.0,45.08553421440452
142,142.0,45.71706517530581
143,143.0,46.349486225740556
144,144.0,46.96326859331703
145,145.0,47.53029989108804
146,146.0,48.06476046964445
147,147.0,48.61670716904265
148,148.0,49.21601346143097
149,149.0,49.841773332479285
150,150.0,50.4651130751277
151,151.0,51.10231905793351
152,152.0,51.79812943194513
153,153.0,52.56929230386572
154,154.0,53.38194537133998
155,155.0,54.18531315708269
156,156.0,54.955055529031014
157,157.0,55.6914938030898
158,158.0,56.392458685900195
159,159.0,57.03761971554499
160,160.0,57.59726185559551
161,161.0,58.064404504824715
162,162.0,58.47349969276364
163,163.0,58.87970535278343
164,164.0,59.311469132424065
165,165.0,59.75049400337819
166,166.0,60.17783001460064
167,167.0,60.620716902383
168,168.0,61.130029982951804
169,169.0,61.72041747326905
170,170.0,62.3529044614585
171,171.0,62.98324535010651
172,172.0,63.5989273632471
173,173.0,64.19586535688114
174,174.0,64.74910418061887
175,175.0,65.21629134510931
176,176.0,65.56603453552883
177,177.0,65.80553710835613
178,178.0,65.98268556656377
179,179.0,66.16112330714232
180,180.0,66.37393126380516
181,181.0,66.60725499519718
182,182.0,66.8474040938183
183,183.0,67.12251783814757
184,184.0,67.47672775209162
185,185.0,67.90782725226526
186,186.0,68.35865637090852
187,187.0,68.77494005999779
188,188.0,69.13443529203809
189,189.0,69.42487584100384
190,190.0,69.62686539249472
191,191.0,69.72194520955591
192,192.0,69.71215293195188
193,193.0,69.62953286770232
194,194.0,69.53500323099978
195,195.0,69.49372445516836
196,196.0,69.52548991951909
197,197.0,69.59917458394108
198,198.0,69.68967718523385
199,199.0,69.86933186290752
200,200.0,70.0
