,time [ns],amplitude [MHZ]
0,0.0,0.0
1,1.0,1.2868840538895325
2,2.0,2.600632816149919
3,3.0,2.671683845233826
4,4.0,2.725335128207975
5,5.0,2.6991490422923365
6,6.0,2.6278126875599574
7,7.0,2.5915749700544946
8,8.0,2.6006004111855683
9,9.0,2.581592238450496
10,10.0,2.483248544348367
11,11.0,2.3486977736671006
12,12.0,2.2526772723512143
13,13.0,2.194335996515115
14,14.0,2.099910575725137
15,15.0,1.9287673135287353
16,16.0,1.7308771841179835
17,17.0,1.5749512081006696
18,18.0,1.4506314791393677
19,19.0,1.2848736965203764
20,20.0,1.0468827839223616
21,21.0,0.7917989608081901
22,22.0,0.5820158655528338
23,23.0,0.39928869029920816
24,24.0,0.1724574188084402
25,25.0,-0.12044682537508046
26,26.0,-0.4208502500759595
27,27.0,-0.67278530235044
28,28.0,-0.9007688241209284
29,29.0,-1.1729131016775232
30,30.0,-1.5033593856293046
31,31.0,-1.8319128578655761
32,32.0,-2.1090907004533785
33,33.0,-2.3641099232837726
34,34.0,-2.6608788108952655
35,35.0,-3.0065715979536365
36,36.0,-3.3412626568414114
37,37.0,-3.62215942459769
38,38.0,-3.881640856497936
39,39.0,-4.178250260401313
40,40.0,-4.512924981486934
41,41.0,-4.827957938174401
42,42.0,-5.087764430485352
43,43.0,-5.326377342739922
44,44.0,-5.5957545031849
45,45.0,-5.891310725330805
46,46.0,-6.1595504319304455
47,47.0,-6.3729381042828015
48,48.0,-6.565704535524181
49,49.0,-6.781873602391225
50,50.0,-7.012148428036455
51,51.0,-7.209268871291598
52,52.0,-7.354710765714388
53,53.0,-7.4815117617398315
54,54.0,-7.624283483982282
55,55.0,-7.769914002246092
56,56.0,-7.879362022510989
57,57.0,-7.9438572933339
58,58.0,-7.993895636334576
59,59.0,-8.05320766229082
60,60.0,-8.105694594113663
61,61.0,-8.122264984294903
62,62.0,-8.104146718500685
63,63.0,-8.07800252738641
64,64.0,-8.055505151027413
65,65.0,-8.018142727120152
66,66.0,-7.947912841724564
67,67.0,-7.855755683179302
68,68.0,-7.763472426105782
69,69.0,-7.670136371925443
70,70.0,-7.5550632394961585
71,71.0,-7.411579297619708
72,72.0,-7.259750741504266
73,73.0,-7.116195142070363
74,74.0,-6.967779397607615
75,75.0,-6.791621018729406
76,76.0,-6.591626180636791
77,77.0,-6.396413114223801
78,78.0,-6.218274193410719
79,79.0,-6.03337907719039
80,80.0,-5.816502210136599
81,81.0,-5.580556271966649
82,82.0,-5.3623000638060825
83,83.0,-5.171860561426906
84,84.0,-4.977318057059374
85,85.0,-4.750969617644794
86,86.0,-4.512568874689868
87,87.0,-4.306539308630353
88,88.0,-4.143700487852346
89,89.0,-3.9873222041805647
90,90.0,-3.807048546324483
91,91.0,-3.6266730411465145
92,92.0,-3.4969310903171413
93,93.0,-3.4313224101669944
94,94.0,-3.391096470291203
95,95.0,-3.3426038165283107
96,96.0,-3.3096563511895924
97,97.0,-3.3456208644042453
98,98.0,-3.46557672227877
99,99.0,-3.6294669344028145
100,100.0,-3.7989188225284147
101,101.0,-3.9920065239102156
102,102.0,-4.257573073026206
103,103.0,-4.6072547882751875
104,104.0,-4.998657888422122
105,105.0,-5.3882126190356185
106,106.0,-5.78242873576873
107,107.0,-6.216624940482264
108,108.0,-6.69396796914852
109,109.0,-7.172248785472266
110,110.0,-7.607970366172095
111,111.0,-7.994753775785484
112,112.0,-8.348927738607204
113,113.0,-8.667702652362543
114,114.0,-8.921775890502959
115,115.0,-9.081407438671791
116,116.0,-9.133555280702142
117,117.0,-9.078682307545712
118,118.0,-8.920594869952811
119,119.0,-8.663491004728193
120,120.0,-8.309014381092492
121,121.0,-7.850299046627643
122,122.0,-7.284092541043315
123,123.0,-6.635453501130978
124,124.0,-5.956289732086263
125,125.0,-5.289676970029192
126,126.0,-4.644312207830932
127,127.0,-4.0185200943510475
128,128.0,-3.4497917280904735
129,129.0,-3.014937853508331
130,130.0,-2.7698981661116138
131,131.0,-2.7106409665693563
132,132.0,-2.80261447169717
133,133.0,-3.042027933846743
134,134.0,-3.4621512378131523
135,135.0,-4.0679235856177245
136,136.0,-4.7977212048656215
137,137.0,-5.559163566648565
138,138.0,-6.286738457695457
139,139.0,-6.950398978259759
140,140.0,-7.510995247464707
141,141.0,-7.90214772536386
142,142.0,-8.05949640510109
143,143.0,-7.9464086866170085
144,144.0,-7.557014571902621
145,145.0,-6.915471640587597
146,146.0,-6.079616404482416
147,147.0,-5.1273959682160735
148,148.0,-4.131608848116381
149,149.0,-3.1592965424953774
150,150.0,-2.304034069206759
151,151.0,-1.6921421835812323
152,152.0,-1.4220176758196377
153,153.0,-1.509862135757349
154,154.0,-1.9043717082415093
155,155.0,-2.5463473741701916
156,156.0,-3.3924762517507525
157,157.0,-4.365130828771843
158,158.0,-5.322097716844646
159,159.0,-6.100664713334252
160,160.0,-6.575812664463319
161,161.0,-6.677855053577137
162,162.0,-6.380091557308133
163,163.0,-5.7025590351534
164,164.0,-4.720394145101848
165,165.0,-3.5477537613776966
166,166.0,-2.3211879509124063
167,167.0,-1.208208138020072
168,168.0,-0.4008931543553175
169,169.0,-0.04568608309606758
170,170.0,-0.17660261188403234
171,171.0,-0.7248849214364191
172,172.0,-1.581080809771274
173,173.0,-2.6299079544404043
174,174.0,-3.7163093054029193
175,175.0,-4.633716720605796
176,176.0,-5.1859090030902575
177,177.0,-5.249629917219354
178,178.0,-4.792328829244785
179,179.0,-3.869771742044716
180,180.0,-2.6296368068101867
181,181.0,-1.2861666044951112
182,182.0,-0.059465730818218945
183,183.0,0.8659633553130505
184,184.0,1.341604128417531
185,185.0,1.2633878546414101
186,186.0,0.6366050852040955
187,187.0,-0.38582091794353957
188,188.0,-1.5613311760919917
189,189.0,-2.6476999592941044
190,190.0,-3.447878626212632
191,191.0,-3.804297887487367
192,192.0,-3.616187697904096
193,193.0,-2.884735992058594
194,194.0,-1.720134961533839
195,195.0,-0.31709552841956684
196,196.0,1.066275353383099
197,197.0,2.146158012462209
198,198.0,2.706453313537715
199,199.0,1.4189462010507432
200,200.0,-8.014704182901526e-16
