,qubit_num,qubit_freq,rabi_freq,anharmonicity,N_levles,p_drag,ramp_length_ns,sample_rate,detuning_scan,max_pop_up,max_pop_down
0,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,0.5,1.720467580640752e-08,1.8911185951271944e-08
1,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,1.0,1.7352868185049628e-08,1.4363521435925247e-08
2,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,1.5,1.5510722972517473e-08,5.580894678990876e-09
3,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,2.0,1.58507261727729e-08,8.447199485646302e-09
4,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,2.5,1.6515290627754e-08,4.8906274314818565e-09
5,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,3.0,1.668423881179038e-08,1.104762975455254e-08
6,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,3.5,1.643150935339171e-08,4.072019442177032e-09
7,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,4.0,1.5649848273953225e-08,4.905694220522919e-09
8,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,4.5,1.550147921333517e-08,4.022275476567606e-09
9,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,5.0,4.205345451398762e-14,9.125759715591643e-10
10,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,5.499999999999999,2.570697227202767e-14,1.8687125135992887e-11
11,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,6.0,7.592021261827816e-14,9.61294015495127e-14
12,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,6.500000000000001,2.6129070782201797e-14,6.588971758467803e-14
13,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,7.0,1.3570656845902288e-14,5.6706243765127583e-14
14,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,7.499999999999999,1.8706243359125476e-14,4.6749153233921515e-14
15,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,8.0,4.538092948985101e-14,2.638880282469577e-14
16,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,8.5,7.040519368240366e-14,2.2798545926361767e-14
17,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,9.0,1.9607203426326847e-14,2.877227679770086e-14
18,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,9.5,4.7104381751201035e-14,5.098384527688062e-14
19,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,10.0,5.709729523852381e-14,5.875684576262453e-14
20,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,10.5,3.341158612914372e-14,3.782716196758916e-14
21,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,10.999999999999998,4.7918015332035667e-14,5.058345005938851e-14
22,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,11.5,2.133930927031161e-14,1.600454035090119e-14
23,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,12.0,1.732756238131456e-14,2.224339564883583e-14
24,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,12.5,3.6188603391948116e-14,4.60315603041897e-14
25,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,13.000000000000002,1.2122159325986919e-14,1.9442846227672397e-14
26,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,13.5,5.834948927014965e-14,1.73298047968803e-14
27,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,14.0,1.5958389319827645e-14,3.320805083460223e-14
28,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,14.5,3.7220515203576336e-14,2.088737027721594e-14
29,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,14.999999999999998,2.6379802740949054e-14,1.347002599527661e-14
30,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,15.5,2.2868995944538593e-14,1.5861164916483106e-14
31,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,16.0,6.145567755983968e-14,6.846267166529557e-14
32,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,16.5,2.060935138174964e-14,3.831680517164096e-14
33,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,17.0,2.568197122554506e-14,1.956126286388574e-14
34,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,17.5,2.7229949940111953e-14,2.6508643415904588e-14
35,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,18.0,1.5932816243289577e-14,1.938751317510916e-14
36,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,18.5,1.6388723054514457e-14,1.520010455108901e-14
37,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,19.0,5.0322774557606305e-14,3.294601964982007e-14
38,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,19.5,4.3752050176282386e-14,8.012231430552424e-14
39,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,20.0,7.996051290713693e-14,2.577131311426707e-14
40,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,20.5,3.2698289343134256e-14,4.244578996134453e-14
41,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,21.0,1.6423772253109038e-14,4.36128188501117e-14
42,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,21.5,4.2399319495563624e-14,1.4172724191592001e-14
43,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,21.999999999999996,3.867901086747131e-14,1.056573637166681e-14
44,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,22.5,2.170843493430478e-14,3.120208921070167e-14
45,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,23.0,1.8322503368870522e-14,2.51606753713967e-14
46,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,23.5,2.5143756622646817e-14,2.5123605292508515e-14
47,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,24.0,2.512633880438371e-14,2.595022311701108e-14
48,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,24.5,3.750093076579827e-14,2.3539126239757115e-14
49,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,25.0,2.381267914896398e-14,2.138339832505013e-14
50,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,25.5,1.3041445116006223e-14,2.881766371821823e-14
51,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,26.000000000000004,1.8031372545926578e-14,4.041548714772586e-14
52,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,26.5,2.6337372491555674e-14,3.060599432365066e-14
53,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,27.0,2.1908315604462985e-14,1.3415610049105248e-14
54,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,27.5,2.1131238199185563e-14,2.5903520906178642e-14
55,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,28.0,2.1734127890976158e-14,2.337977342030651e-14
56,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,28.5,1.9416372480592e-14,2.6441704574285856e-14
57,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,29.0,1.2382550202776794e-14,1.4190014467981614e-14
58,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,29.5,3.987571744625332e-14,2.5171837324214993e-14
59,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,29.999999999999996,3.19264852844701e-14,1.5631100866452557e-14
60,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,30.5,2.4899240691875832e-14,2.4890463769915704e-14
61,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,31.0,1.1644285855406832e-14,3.3147017085943957e-14
62,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,31.5,1.6296794156455472e-14,2.358844414340744e-14
63,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,32.0,1.3883745983470806e-14,3.10713392106744e-14
64,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,32.5,1.2634402294281752e-14,3.229033461819807e-14
65,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,33.0,3.8984227367597385e-14,2.386428957207158e-14
66,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,33.5,2.292107253538085e-14,4.336336255062997e-09
67,5,4329.841502057613,90.0,210.64300411522674,10,-16,200,2000,34.0,1.6475126333317016e-14,2.666495309427422e-14
