,time [ns],amplitude [MHZ],amplitude_x [MHZ],amplitude_y [MHZ]
0,0.0,,0.0,0.0
1,0.5,,0.0010155642762427063,-0.05277785269637893
2,1.0,,0.0023965505766064305,-0.13883967163061034
3,1.5,,0.003001516697815839,-0.20535798937632072
4,2.0,,0.003378938861112851,-0.2718534932670815
5,2.5,,0.0036228744283356815,-0.3384362929956964
6,3.0,,0.003873976545026881,-0.4051120835759517
7,3.5,,0.004230239134196349,-0.47178199558294187
8,4.0,,0.004684930400056947,-0.5383064874450886
9,4.5,,0.0051293622004806244,-0.6045943387025853
10,5.0,,0.005418801482388509,-0.6706625614924953
11,5.5,,0.005461392401564715,-0.736630797963483
12,6.0,,0.0052761786270557574,-0.802653682910919
13,6.5,,0.004985168954233876,-0.8688320766776486
14,7.0,,0.004744257467728403,-0.9351569027257994
15,7.5,,0.004655056675693668,-1.00151953261893
16,8.0,,0.004711102373457896,-1.0677820338684656
17,8.5,,0.0048108097065483035,-1.133864538191876
18,9.0,,0.004829292970916901,-1.1997966333089976
19,9.5,,0.00470521957021393,-1.2657013781218718
20,10.0,,0.004489757891873647,-1.3317218066496594
21,10.5,,0.0043280185423532095,-1.3979345071511353
22,11.0,,0.004384056386964695,-1.464302583879821
23,11.5,,0.004754918100688893,-1.5306966903548247
24,12.0,,0.005425980484378978,-1.596971093534003
25,12.5,,0.00629425383738002,-1.6630484452164647
26,13.0,,0.007245360716342222,-1.7289620043282465
27,13.5,,0.008237293734634003,-1.7948295351953982
28,14.0,,0.00933965981604404,-1.8607750144739545
29,14.5,,0.010704777910150929,-1.9268460591802814
30,15.0,,0.012488202526475872,-1.9929770553956558
31,15.5,,0.0147667793988908,-2.059020604960055
32,16.0,,0.01750425807050888,-2.12482813790987
33,16.5,,0.02058494286841733,-2.1903304409648188
34,17.0,,0.023894591914439482,-2.255569679986473
35,17.5,,0.027399595697034266,-2.320663644807584
36,18.0,,0.031176062192835453,-2.385724140521541
37,18.5,,0.03537145471107405,-2.4507797162343996
38,19.0,,0.04012258477791835,-2.515749407890267
39,19.5,,0.04547951586568578,-2.5804833514694256
40,20.0,,0.051381818280389936,-2.644845793276123
41,20.5,,0.05770148310313235,-2.708789710370384
42,21.0,,0.06432593368130633,-2.77237820304839
43,21.5,,0.07123123220896503,-2.8357401836888254
44,22.0,,0.07850120133711763,-2.898987099739379
45,22.5,,0.08628101105975075,-2.9621416725848704
46,23.0,,0.09469416954239594,-3.025121660765663
47,23.5,,0.1037730283593894,-3.0877879324094604
48,24.0,,0.1134448742725462,-3.1500280372786387
49,24.5,,0.12358237265170989,-3.2118243102292015
50,25.0,,0.13408729614773932,-3.273265206647229
51,25.5,,0.1449571745620841,-3.3344935947406786
52,26.0,,0.15629497055815508,-3.3956228487032107
53,26.5,,0.1682556132270979,-3.4566715579109
54,27.0,,0.18096234759181573,-3.517556524199511
55,27.5,,0.19444356953641725,-3.578147515631353
56,28.0,,0.2086279502926525,-3.638350858808962
57,28.5,,0.22340139362031858,-3.6981712261230215
58,29.0,,0.23869103608011966,-3.7577135405645317
59,29.5,,0.25452517455004936,-3.8171242746982084
60,30.0,,0.2710333559312486,-3.8765073658993905
61,30.5,,0.28838595226719993,-3.9358652543801083
62,31.0,,0.3067098595887038,-3.9951013565472673
63,31.5,,0.32603184583206635,-4.0540819238392976
64,32.0,,0.3462832098877107,-4.112719625004521
65,32.5,,0.3673632709318109,-4.171028550475133
66,33.0,,0.38922320000296406,-4.229116417899543
67,33.5,,0.4119184343843333,-4.2871189043108995
68,34.0,,0.4355982645403942,-4.345116314808261
69,34.5,,0.46043860426531447,-4.403082583046663
70,35.0,,0.4865582936132518,-4.460898247248837
71,35.5,,0.5139705265019963,-4.518419458912355
72,36.0,,0.5425983092795017,-4.575560410048898
73,36.5,,0.5723442000607067,-4.632339779940533
74,37.0,,0.6031723180262993,-4.68886264773804
75,37.5,,0.6351517932285775,-4.745248835377823
76,38.0,,0.6684354665974334,-4.801552316047216
77,38.5,,0.7031873515010318,-4.857720193280809
78,39.0,,0.7395023032820047,-4.913616303063991
79,39.5,,0.7773673535369637,-4.969095502073333
80,40.0,,0.8166880281775536,-5.0240825306282915
81,40.5,,0.8573626117847358,-5.078608158952375
82,41.0,,0.8993598443176265,-5.13278127576619
83,41.5,,0.9427525618202228,-5.186713577599231
84,42.0,,0.9876868212605954,-5.240443727110161
85,42.5,,1.0343065611401527,-5.2939068434291485
86,43.0,,1.0826790669649975,-5.34696704508049
87,43.5,,1.132766431056769,-5.399493930083527
88,44.0,,1.1844607330108754,-5.45143594772477
89,44.5,,1.2376604490474927,-5.502846272681655
90,45.0,,1.2923422633206187,-5.553846765948484
91,45.5,,1.3485854901484424,-5.6045513304748535
