,time [ns],amplitude [MHZ],amplitude_x [MHZ],amplitude_y [MHZ]
0,0.0,,0.0,0.0
1,0.5,,1.2872249543561447,-0.40471089978056424
2,1.0,,2.5636485357837118,-0.8408927043575818
3,1.5,,2.548492272961128,-0.9098285011456209
4,2.0,,2.548519100953529,-0.9854337769596111
5,2.5,,2.5645530466572537,-1.0567979501564992
6,3.0,,2.5904869327708417,-1.1148198223389083
7,3.5,,2.6158363002610825,-1.1561631020902021
8,4.0,,2.630343375329465,-1.1847830847389227
9,4.5,,2.628494315620477,-1.2101074537380907
10,5.0,,2.6117866019806946,-1.2428872067020984
11,5.5,,2.5880352235052047,-1.290640772180308
12,6.0,,2.568043406806774,-1.3544061719209246
13,6.5,,2.5608860003092366,-1.4282879990084536
14,7.0,,2.570017541278243,-1.5020875616095444
15,7.5,,2.591864615563241,-1.5656568421459964
16,8.0,,2.61729451729719,-1.6132316547109313
17,8.5,,2.635561408442919,-1.6460271682683392
18,9.0,,2.6390825410150893,-1.6716700558290833
19,9.5,,2.6266534839533757,-1.7007642082554801
20,10.0,,2.6038598848491836,-1.7423680201423744
21,10.5,,2.5807122209454536,-1.8001274891743935
22,11.0,,2.567292896176408,-1.8706632803479832
23,11.5,,2.569369577716262,-1.9451214180368301
24,12.0,,2.5860218712776204,-2.0130181364598028
25,12.5,,2.6100277285214277,-2.0666634110649675
26,13.0,,2.630911356005214,-2.1045507567542576
27,13.5,,2.6395976345828984,-2.132052297920695
28,14.0,,2.6323616658551705,-2.158936681958675
29,14.5,,2.6122904752366685,-2.1951343362689246
30,15.0,,2.5879590055289046,-2.246541213858921
31,15.5,,2.5697450239796993,-2.3124274952203234
32,16.0,,2.565264308281624,-2.3858035860474454
33,16.5,,2.576173118202152,-2.4565427486796065
34,17.0,,2.597536546514364,-2.515654080327166
35,17.5,,2.619860229588977,-2.559148338854797
36,18.0,,2.6332555567454112,-2.5898700639514316
37,18.5,,2.6318319978583844,-2.6161487611157144
38,19.0,,2.6161096517400986,-2.6480897586202086
39,19.5,,2.5927271612919136,-2.6933166100540946
40,20.0,,2.5716372845738893,-2.753673935579344
41,20.5,,2.561721411685309,-2.8244126491746195
42,21.0,,2.5669637869788127,-2.896390945732166
43,21.5,,2.5848899796287648,-2.9599975903650217
44,22.0,,2.607582371323438,-3.0091946996302674
45,22.5,,2.625066994128537,-3.044234282992155
46,23.0,,2.6297879197114993,-3.0715256649292413
47,23.5,,2.619821208319797,-3.100680932114076
48,24.0,,2.599554538740149,-3.140421248396679
49,24.5,,2.577853439953677,-3.1948813097044932
50,25.0,,2.564199709424652,-3.2617550753087627
51,25.5,,2.56451161639075,-3.33341597912088
52,26.0,,2.5787516522583025,-3.4003039995385236
53,26.5,,2.6010008444330572,-3.4549103136707218
54,27.0,,2.621911121134463,-3.4950511245786586
55,27.5,,2.6328747670189823,-3.524892128845824
56,28.0,,2.6298146237175004,-3.552957994937255
57,28.5,,2.6147562536602544,-3.5883981863383823
58,29.0,,2.5949435662562146,-3.6371699649266693
59,29.5,,2.5797589434377595,-3.6994109217575253
60,30.0,,2.5765393749819197,-3.769415426186542
61,30.5,,2.5874887408048517,-3.8382879963131504
62,31.0,,2.608903698456176,-3.8976997038551255
63,31.5,,2.6326810947544663,-3.9433981151684687
64,32.0,,2.6498466612385845,-3.9771735102244232
65,32.5,,2.6546031814019835,-4.005976120785403
66,33.0,,2.646696220796896,-4.038738479651735
67,33.5,,2.6313979296612207,-4.082645516616515
