,time [ns],amplitude [MHZ],amplitude_x [MHZ],amplitude_y [MHZ]
0,0.0,,0.0,0.0
1,0.5,,0.00041901872616211346,-0.055404386399210054
2,1.0,,0.001420282611110465,-0.14424104069292112
3,1.5,,0.002513698015319352,-0.21099924513764115
4,2.0,,0.003441183881302515,-0.2776016044414481
5,2.5,,0.004200805417790105,-0.3441599905864407
6,3.0,,0.004867889878810745,-0.41075218759851023
7,3.5,,0.005549862183523747,-0.47737887813898233
8,4.0,,0.006323977042205984,-0.5439637279374439
9,4.5,,0.007192449849362156,-0.6103963898327552
10,5.0,,0.008079681464797421,-0.6765944869136413
11,5.5,,0.008872970538718591,-0.7425503991800376
12,6.0,,0.009484288085330757,-0.8083370673342063
13,6.5,,0.009898961917524282,-0.8740695982925877
14,7.0,,0.010184463529622365,-0.9398440455538508
15,7.5,,0.010454733715182535,-1.0056870793645407
16,8.0,,0.01080972785547478,-1.071544101698702
17,8.5,,0.011283567803523367,-1.137312359959717
18,9.0,,0.011829999433820087,-1.2029005260353793
19,9.5,,0.01235285814109583,-1.2682817109475644
20,10.0,,0.012764654347487175,-1.3335109104477776
21,10.5,,0.01304109079663361,-1.398697187507861
22,11.0,,0.013241277035551753,-1.463945954690631
23,11.5,,0.01348270976619853,-1.5293033823846944
24,12.0,,0.013885018344475537,-1.5947332415960003
25,12.5,,0.014513210420918434,-1.6601388217633133
26,13.0,,0.015351805200637045,-1.725417927086156
27,13.5,,0.016324049083942315,-1.7905202771452442
28,14.0,,0.017345194613795807,-1.8554758028352285
29,14.5,,0.018380680980241076,-1.920378499550221
30,15.0,,0.01947715682314547,-1.9853344510148736
31,15.5,,0.020748998916248932,-2.050402866893951
32,16.0,,0.022328113008192988,-2.1155626871187723
33,16.5,,0.024304533246591414,-2.180722715547115
34,17.0,,0.026690221054136723,-2.245769958078919
35,17.5,,0.029426329540124998,-2.3106295489497106
36,18.0,,0.032429633749647344,-2.375302894733625
37,18.5,,0.0356522946823261,-2.439863444768527
38,19.0,,0.03912241566434488,-2.504412372994653
39,19.5,,0.042942674462021,-2.569018302891175
40,20.0,,0.04724767315202522,-2.6336747882181375
41,20.5,,0.05214391434680676,-2.698298800217436
42,21.0,,0.05766502013348213,-2.7627708479789677
43,21.5,,0.06376692051948857,-2.826995158899699
44,22.0,,0.07036604973436415,-2.89094639736487
45,22.5,,0.07739891430086616,-2.954677024257441
46,23.0,,0.08487030393639432,-3.0182817827431685
47,23.5,,0.09286379853267857,-3.0818384986025587
48,24.0,,0.10150815963234801,-3.145357969794165
49,24.5,,0.11091852384706595,-3.2087711740287563
50,25.0,,0.12114510020770523,-3.2719603335804557
51,25.5,,0.13215713684909014,-3.3348168749652594
52,26.0,,0.1438715150355441,-3.397294663493413
