,time [ns],amplitude [MHZ],amplitude_x [MHZ],amplitude_y [MHZ]
0,0.0,,0.0,0.0
1,0.5,,0.6257495875126512,-0.7564515420298799
2,1.0,,1.2598040421118826,-1.5388422833650688
3,1.5,,1.2777861831089066,-1.5907245714903329
4,2.0,,1.2982420420443423,-1.6416327487960565
5,2.5,,1.3200869880614485,-1.6900018039570268
6,3.0,,1.3415153612545712,-1.7352870239358755
7,3.5,,1.360767136677836,-1.778179692814613
8,4.0,,1.3768960509638926,-1.8203424098045453
9,4.5,,1.3902369382861683,-1.8636662786418239
10,5.0,,1.4022376180287932,-1.9093823916296753
11,5.5,,1.4147735095614071,-1.957540285397222
12,6.0,,1.4293365600518089,-2.007010586555361
13,6.5,,1.446369995692318,-2.055972506738724
14,7.0,,1.4650645752853737,-2.1027535359201357
15,7.5,,1.4837674197715618,-2.146572845360563
16,8.0,,1.5007066177455863,-2.187836209137217
17,8.5,,1.514736403344388,-2.227981947421865
18,9.0,,1.5258909619694971,-2.268868699014932
19,9.5,,1.5353801413440862,-2.3118918169380707
20,10.0,,1.544991630532301,-2.357365884232143
21,10.5,,1.556306920859858,-2.404433013354998
22,11.0,,1.5700176033616118,-2.451429301015941
23,11.5,,1.585595430216907,-2.496643052124249
24,12.0,,1.6015749396301484,-2.5391078656102724
25,12.5,,1.616235861562826,-2.578973940188689
26,13.0,,1.628311042996808,-2.6174301703858642
27,13.5,,1.6375679475410903,-2.656228205585924
28,14.0,,1.6449569565322206,-2.6968600288287305
29,14.5,,1.6521288817443902,-2.7398625272006583
30,15.0,,1.6606823947096934,-2.784640651470997
31,15.5,,1.6714949863491306,-2.829735499531381
32,16.0,,1.684310801132713,-2.873467438899032
33,16.5,,1.6978791059075125,-2.9147369868092996
34,17.0,,1.7105804190793905,-2.9534765421302844
35,17.5,,1.7211031092890234,-2.990624383861355
36,18.0,,1.7290020287985253,-3.027762494109341
37,18.5,,1.7349608865387522,-3.0664061070004083
38,19.0,,1.7404536776480601,-3.107266681952451
39,19.5,,1.7470341230563937,-3.1499884143197203
40,20.0,,1.7556937537962651,-3.193344858999525
41,20.5,,1.7664217960443864,-3.235758621784544
42,21.0,,1.7782026446611783,-3.2760548764530206
43,21.5,,1.7895556082651016,-3.313988514627294
44,22.0,,1.7991919787459836,-3.350265903162814
45,22.5,,1.8065239525137813,-3.386256528702754
46,23.0,,1.8119806700524566,-3.423422274602187
47,23.5,,1.8168271150472246,-3.462595078735303
48,24.0,,1.8225211597054325,-3.5036257665593027
49,24.5,,1.830095605926406,-3.5455254764128314
50,25.0,,1.839737063170637,-3.5868804906133365
51,25.5,,1.8506746523986723,-3.6265061059559462
52,26.0,,1.8615980513954429,-3.664021650641122
53,26.5,,1.8712951205969648,-3.699932730832152
54,27.0,,1.8791125409511549,-3.7353783965649
55,27.5,,1.8852602343860205,-3.7716941525065217
56,28.0,,1.8907717468785155,-3.80976930963961
57,28.5,,1.8969670215890426,-3.8496233209073667
58,29.0,,1.9048541257786442,-3.890490778034946
59,29.5,,1.914752187914662,-3.9311657976818974
60,30.0,,1.9261273752482575,-3.970525565211083
61,30.5,,1.9378674949082801,-4.0081007483452815
62,31.0,,1.9488778879259028,-4.0442324355422885
63,31.5,,1.9585137983042817,-4.079835850713901
64,32.0,,1.966824261063408,-4.116060263900057
