,qubit_num,qubit_freq,rabi_freq,anharmonicity,N_levles,p_drag,ramp_length_ns,sample_rate,detuning_scan,max_pop_up,max_pop_down
49,4,4430.455,70.0,208.39,10,-16,200,2000,25.5,3.140622763509309e-14,1.4299866458227125e-14
50,4,4430.455,70.0,208.39,10,-16,200,2000,26.000000000000004,1.756101414932835e-14,1.9129747079071433e-14
51,4,4430.455,70.0,208.39,10,-16,200,2000,26.5,1.5758563997129667e-14,7.253610391866485e-14
52,4,4430.455,70.0,208.39,10,-16,200,2000,27.0,2.6752178433022685e-14,1.164452075243418e-14
53,4,4430.455,70.0,208.39,10,-16,200,2000,27.5,1.892416687293216e-14,3.337034446229647e-14
54,4,4430.455,70.0,208.39,10,-16,200,2000,28.0,1.4604755807394004e-14,1.4049845148135424e-08
55,4,4430.455,70.0,208.39,10,-16,200,2000,28.5,3.4433527796474833e-14,1.4558192689198946e-08
56,4,4430.455,70.0,208.39,10,-16,200,2000,29.0,4.233934826563405e-14,2.6180162978493052e-14
57,4,4430.455,70.0,208.39,10,-16,200,2000,29.5,1.8879679677391466e-14,3.855467397170265e-14
58,4,4430.455,70.0,208.39,10,-16,200,2000,29.999999999999996,3.2508987845241385e-14,1.2535310029375599e-14
