,time [ns],amplitude [MHZ],amplitude_x [MHZ],amplitude_y [MHZ]
0,0.0,,0.0,0.0
1,0.5,,-0.0492622316361022,-0.06388750180399785
2,1.0,,-0.0973882858503032,-0.15585888374861626
3,1.5,,-0.09511107183443769,-0.2118798346104731
4,2.0,,-0.09287869851633883,-0.26766347923476425
5,2.5,,-0.09074957904662738,-0.32334281762460365
6,3.0,,-0.08867945209190464,-0.3790548063242729
7,3.5,,-0.0865424168056434,-0.4348743666321352
8,4.0,,-0.08418913525465962,-0.49077675007473587
9,4.5,,-0.08151586057250666,-0.5466456831751932
10,5.0,,-0.07851224702975242,-0.6023238242596485
11,5.5,,-0.07526588305228378,-0.6576818026504598
12,6.0,,-0.07192216077622045,-0.7126742349196478
13,6.5,,-0.06861760107045389,-0.7673576704050102
14,7.0,,-0.06541678495749298,-0.8218617194231648
15,7.5,,-0.062282506193596994,-0.876326519080559
16,8.0,,-0.05909252171667848,-0.93083595037995
17,8.5,,-0.05569462169080336,-0.9853765424423745
18,9.0,,-0.05197574291914278,-1.039840630942826
19,9.5,,-0.04791327702554295,-1.0940734211690264
20,10.0,,-0.04358405298103631,-1.1479417616832372
21,10.5,,-0.039127873507271704,-1.2013924438222532
22,11.0,,-0.034682450336798995,-1.25447451744372
23,11.5,,-0.030318357117104053,-1.3073149249550442
24,12.0,,-0.026004810782690697,-1.3600576852361628
25,12.5,,-0.021622387088634096,-1.4127958207017695
26,13.0,,-0.017015482727763268,-1.4655269574435983
27,13.5,,-0.012061482814930387,-1.5181518304428527
28,14.0,,-0.006725581667147277,-1.570517968221362
29,14.5,,-0.0010742884296280918,-1.6224885668002538
30,15.0,,0.004757921679259382,-1.6740033220973953
31,15.5,,0.01063243947024083,-1.7251046313719338
32,16.0,,0.016473332928963427,-1.7759174155441675
33,16.5,,0.022305909290512738,-1.8265899307504354
34,17.0,,0.02824778717263458,-1.877224022464191
35,17.5,,0.034458343020490424,-1.9278275997780918
36,18.0,,0.04106945722229999,-1.9783092132631757
37,18.5,,0.04812759746944255,-2.028518552371095
38,19.0,,0.05557592041616157,-2.0783154989867456
39,19.5,,0.0632850026598525,-2.127633656784521
40,20.0,,0.07111596172666895,-2.176509823612625
41,20.5,,0.07898863425952078,-2.225067318573029
42,21.0,,0.08692400463339472,-2.2734584425193063
43,21.5,,0.09503882736974555,-2.3217930088387813
44,22.0,,0.10349634936005206,-2.370087887840939
45,22.5,,0.11243686712056838,-2.418258597380588
46,23.0,,0.12191750323118317,-2.4661570235156702
47,23.5,,0.13189036062902626,-2.513640385063457
48,24.0,,0.1422309442131273,-2.560637364441298
49,24.5,,0.1528010486172705,-2.6071802480323973
50,25.0,,0.16351783170864317,-2.6533908343404877
51,25.5,,0.1743991861474806,-2.69942460720126
52,26.0,,0.18556162999484233,-2.745397958409817
53,26.5,,0.19717196122502084,-2.7913350778383728
54,27.0,,0.20937751685755468,-2.8371574811083202
55,27.5,,0.22224464305880778,-2.8827195547709774
56,28.0,,0.2357337132522488,-2.927876870642672
57,28.5,,0.24972532371706022,-2.972554414120783
58,29.0,,0.2640831650766075,-3.0167808844481114
59,29.5,,0.2787235325490142,-3.060676234474264
60,30.0,,0.2936623998214198,-3.104397584114004
61,30.5,,0.30901616799783904,-3.148066020972947
62,31.0,,0.32495433262579004,-3.1917112992264594
63,31.5,,0.3416294589739819,-3.2352600057180467
64,32.0,,0.35911535478627393,-3.27856960508934
65,32.5,,0.3773800822285006,-3.321495392349767
66,33.0,,0.3963098505965616,-3.3639598391550143
67,33.5,,0.4157716460118889,-3.40598863487938
68,34.0,,0.43568275574866333,-3.4476991274333844
69,34.5,,0.45605821174400824,-3.4892479306584647
70,35.0,,0.47701379683095,-3.5307585319792256
71,35.5,,0.49872023130798715,-3.5722645614794883
72,36.0,,0.5213331672455178,-3.6136969592800696
73,36.5,,0.5449319083804975,-3.6549170808451983
74,37.0,,0.5694917113281935,-3.695781596385509
75,37.5,,0.5949052715504181,-3.736211552794937
76,38.0,,0.621044360013331,-3.7762297338511615
77,38.5,,0.647828912152983,-3.815949691852673
78,39.0,,0.6752736713605471,-3.8555249691942657
79,39.5,,0.7034926632950677,-3.895078859572193
80,40.0,,0.7326557045469263,-3.9346473692920356
81,40.5,,0.7629191541562639,-3.9741654273272626
82,41.0,,0.7943657842031507,-4.013499278618734
83,41.5,,0.8269775973774294,-4.052508786593231
84,42.0,,0.8606549173488885,-4.091114561873748
85,42.5,,0.8952758098525981,-4.129336077248608
86,43.0,,0.9307641243726875,-4.167281489840197
87,43.5,,0.9671345344084274,-4.2050984917580125
88,44.0,,1.0044976015965026,-4.242907437767607
89,44.5,,1.0430194795673264,-4.280745449385203
90,45.0,,1.0828546655948392,-4.3185515367608955
91,45.5,,1.1240874429410168,-4.356197995441968
92,46.0,,1.166706117248813,-4.393549737538464
93,46.5,,1.2106199178266044,-4.430527855482529
94,47.0,,1.255714702563625,-4.467147659144196
95,47.5,,1.3019190140055295,-4.50350993341705
96,48.0,,1.349247155975191,-4.539753719027143
97,48.5,,1.3978040738367334,-4.575993699277614
98,49.0,,1.4477489570161166,-4.612267076670003
99,49.5,,1.4992316841820903,-4.648517537607172
100,50.0,,1.552336263234518,-4.684624781462986
101,50.5,,1.607056864231877,-4.720460556852257
102,51.0,,1.6633128925204599,-4.755947325177467
103,51.5,,1.7209994849657086,-4.791095079637987
104,52.0,,1.7800501930818173,-4.825994910731183
105,52.5,,1.8404780821338458,-4.860774502402707
106,53.0,,1.9023800071098398,-4.895540311142972
107,53.5,,1.965904491840328,-4.930328771415663
108,54.0,,2.0311938174730195,-4.965089327159621
109,54.5,,2.0983301497955047,-4.999710716033403
110,55.0,,2.167313157682058,-5.0340731942252255
111,55.5,,2.238073584263676,-5.0681014612583715
112,56.0,,2.3105173400559407,-5.1017989165166115
113,56.5,,2.384582971073024,-5.135244320231479
114,57.0,,2.460280851308143,-5.168551398929831
115,57.5,,2.537697016491275,-5.2018161459376495
116,58.0,,2.616965391653043,-5.235073541268883
117,58.5,,2.6982174246483583,-5.268280285023247
118,59.0,,2.7815320835724964,-5.3013361968114205
119,59.5,,2.8669143857817856,-5.334131621612251
120,60.0,,2.9543074479058617,-5.366594302609394
121,60.5,,3.0436294593438453,-5.3987197894650745
122,61.0,,3.134823802821399,-5.430571600798001
123,61.5,,3.2278961429856574,-5.462246912977111
124,62.0,,3.3229186795406815,-5.493829438744078
125,62.5,,3.420006729059493,-5.525352231557143
126,63.0,,3.5192774254604138,-5.556781073928111
127,63.5,,3.6208053405601492,-5.588029443401764
128,64.0,,3.7246010929957483,-5.6189993685678745
129,64.5,,3.8306211705153386,-5.649622264792688
130,65.0,,3.938797508575545,-5.6798846445186
131,65.5,,4.049078175389458,-5.7098316640561935
132,66.0,,4.161461586099432,-5.739541221752238
133,66.5,,4.276002659108382,-5.769083409666582
134,67.0,,4.392794118453251,-5.7984892719744545
135,67.5,,4.511935167664553,-5.827735773475925
136,68.0,,4.6334948781409135,-5.856753225761436
137,68.5,,4.757490299810871,-5.885457107847402
138,69.0,,4.883892428190976,-5.913782809898394
139,69.5,,5.0126482489720985,-5.941706612159125
140,70.0,,5.1437103800686526,-5.969252111134492
141,70.5,,5.2770669813028315,-5.996475000698401
142,71.0,,5.412751618413931,-6.0234309456148445
143,71.5,,5.550830496514848,-6.050149616211177
144,72.0,,5.691381383431722,-6.076621591831354
145,72.5,,5.834466833837414,-6.102797773376731
146,73.0,,5.980111824881094,-6.128609202662818
147,73.5,,6.128303340527875,-6.153995119978438
148,74.0,,6.279004358203934,-6.17892022005097
149,74.5,,6.43217172007575,-6.203383524389057
150,75.0,,6.587779923436363,-6.2274155933260245
151,75.5,,6.745836353835315,-6.251057536230316
152,76.0,,6.906376833028767,-6.274339485184994
153,76.5,,7.069454708223515,-6.297268643476533
154,77.0,,7.235125225753148,-6.3198207285816865
155,77.5,,7.40342340368846,-6.341944941203889
156,78.0,,7.574354173739008,-6.3635838844067285
157,78.5,,7.74789685198521,-6.3846890710597854
158,79.0,,7.924011584045838,-6.405232577801287
159,79.5,,8.102655493050092,-6.425217541028362
160,80.0,,8.283804340456534,-6.44467142793166
161,80.5,,8.46745987491976,-6.463628449764524
162,81.0,,8.653649144111753,-6.48211646333925
163,81.5,,8.842419894831972,-6.500140538798939
164,82.0,,9.033819738415703,-6.517671151848426
165,82.5,,9.227873952824542,-6.53465374747236
166,83.0,,9.424577770824085,-6.551025004407421
167,83.5,,9.623892673332737,-6.5667290546683095
168,84.0,,9.825754616128188,-6.581741134612328
169,84.5,,10.030102346369949,-6.596077694010902
170,85.0,,10.236900493329102,-6.609782940120442
171,85.5,,10.446149810797817,-6.62291092033538
172,86.0,,10.657891635626775,-6.6355006669206045
173,86.5,,10.872188939497338,-6.647547374153567
174,87.0,,11.089089908443215,-6.658999331825081
175,87.5,,11.308604508226717,-6.669777282024683
176,88.0,,11.530692360644377,-6.679798704305353
177,88.5,,11.755264917175813,-6.6890137957230165
178,89.0,,11.982220026560377,-6.697433169403998
179,89.5,,12.211483934586017,-6.705119307036677
180,90.0,,12.443033967658124,-6.712159539220433
181,90.5,,12.676908363837477,-6.718631002545219
182,91.0,,12.913188297941188,-6.7245566676875255
183,91.5,,13.151947077108385,-6.729888627459171
184,92.0,,13.393207741371578,-6.734532002804148
185,92.5,,13.636924138840499,-6.738381950297312
186,93.0,,13.88298142631013,-6.741370984319466
187,93.5,,14.131236494948329,-6.743511998558138
188,94.0,,14.381579723549061,-6.7448952196163985
189,94.5,,14.633971794231817,-6.745648540450146
190,95.0,,14.888454263178168,-6.745889371163664
191,95.5,,15.14512937128373,-6.745669329172658
192,96.0,,15.404096653626311,-6.744945699896487
193,96.5,,15.665390572833275,-6.743610121404211
194,97.0,,15.928955997965884,-6.741542509316452
195,97.5,,16.194653261533233,-6.738668962230846
196,98.0,,16.46230485192552,-6.7350142968296876
197,98.5,,16.731774082893196,-6.73070358307811
198,99.0,,17.003016312249628,-6.72590859049945
199,99.5,,17.276085911167865,-6.7207836861590255
200,100.0,,17.55110861918554,-6.715404234461571
201,100.5,,17.82820896771256,-6.709731968814512
202,101.0,,18.107431351260114,-6.703647752936157
203,101.5,,18.388711108429163,-6.697023671796397
204,102.0,,18.671890311458135,-6.6897906552095465
205,102.5,,18.956772185615463,-6.6819918641118665
206,103.0,,19.243209635924917,-6.6737851202798835
207,103.5,,19.531167478388213,-6.665377733716868
208,104.0,,19.820722975751725,-6.6569462350096495
209,104.5,,20.112025283552313,-6.648573892205831
210,105.0,,20.40521801958605,-6.640219312332953
211,105.5,,20.70035294289325,-6.631752482510258
212,106.0,,20.997359022408197,-6.623040772893621
213,106.5,,21.296072274230344,-6.614023863934005
214,107.0,,21.596299289286396,-6.604758548698426
215,107.5,,21.89790508637782,-6.595415564706952
216,108.0,,22.200877525956898,-6.5862089146439144
217,108.5,,22.50532072966703,-6.577305105080917
218,109.0,,22.81139946779105,-6.568765111177058
