,time [ns],amplitude [MHZ]
0,0.0,0j
1,0.5,(-1.0775873955212891+1.3580290327400795j)
2,1.0,(-2.089711001375819+2.7134289817102677j)
3,1.5,(-1.956742254913507+2.720061252961334j)
4,2.0,(-1.8279161317091863+2.7484025387709976j)
5,2.5,(-1.7168317620356628+2.789844743164476j)
6,3.0,(-1.629257437457289+2.82943816265467j)
7,3.5,(-1.560890565980188+2.8518828874788116j)
8,4.0,(-1.4992455599605867+2.847643313651676j)
9,4.5,(-1.4287764783327763+2.8165920373077182j)
10,5.0,(-1.337037561099251+2.7679119752932375j)
11,5.5,(-1.2195998960600736+2.7164170941329258j)
12,6.0,(-1.0818153227464355+2.676621881699264j)
13,6.5,(-0.9366303150523037+2.6569612792968087j)
14,7.0,(-0.7994326233389706+2.656524445506439j)
15,7.5,(-0.6820107218545193+2.6654616303290135j)
16,8.0,(-0.5879065203400853+2.668922494863759j)
17,8.5,(-0.5110984111307072+2.65304005595349j)
18,9.0,(-0.43857925448230745+2.6104228938703478j)
19,9.5,(-0.35560595739640233+2.5429559853443737j)
20,10.0,(-0.2515348389506167+2.4609871813501565j)
21,10.5,(-0.12406076086615556+2.3791985970548586j)
22,11.0,(0.01988272473405323+2.310740402356636j)
23,11.5,(0.1669166244313711+2.2620491708748927j)
24,12.0,(0.3024915864869586+2.2303626928659335j)
25,12.5,(0.41661990686002187+2.2048427829169386j)
26,13.0,(0.5078058364546918+2.1709479698525334j)
27,13.5,(0.5835066277428907+2.1162717760946226j)
28,14.0,(0.657035657531438+2.0354069759608824j)
29,14.5,(0.742253545537348+1.9320122841759308j)
30,15.0,(0.8480622387247634+1.8173424197206713j)
31,15.5,(0.9748654373363771+1.7057594605716933j)
32,16.0,(1.1144412445363923+1.6090472319641573j)
33,16.5,(1.2531967745717532+1.531806016997551j)
34,17.0,(1.3775165639793234+1.4696685468252375j)
35,17.5,(1.47914525903785+1.4110846689306615j)
36,18.0,(1.5583845645721646+1.3419940950227625j)
37,18.5,(1.6238367920961378+1.2514116032516263j)
38,19.0,(1.688928629537853+1.1357242516562769j)
39,19.5,(1.7665719183386834+1.000100868148397j)
40,20.0,(1.8640306427425595+0.8564238222563688j)
41,20.5,(1.9800740952676807+0.7185787016971467j)
42,21.0,(2.1054812323671688+0.5970225493781496j)
43,21.5,(2.2266542716600037+0.4946982438695022j)
44,22.0,(2.330995444883072+0.4059102299798679j)
45,22.5,(2.4118643842279153+0.318684861927794j)
46,23.0,(2.4710831245088976+0.21957671797766015j)
47,23.5,(2.518124052029908+0.09896057993928156j)
48,24.0,(2.566332350964774-0.04517205061037724j)
49,24.5,(2.627605386895519-0.20643076211998396j)
50,25.0,(2.7077065395472935-0.37259059886892054j)
51,25.5,(2.804046539631653-0.5303730697844103j)
52,26.0,(2.906685380212796-0.670608405159261j)
53,26.5,(3.0022471043655363-0.791830487821472j)
