,time [ns],amplitude [MHZ]
122,61.0,(4.310162682807939-5.540279962376292j)
123,61.5,(4.341168456639702-5.598344843332805j)
124,62.0,(4.372379234991657-5.665668366429628j)
125,62.5,(4.409339020356603-5.7410427421107535j)
126,63.0,(4.455693556207993-5.820286586180556j)
127,63.5,(4.5119297098049564-5.897890388486342j)
128,64.0,(4.575059546048867-5.969108018936637j)
129,64.5,(4.639781446218006-6.032090343492521j)
130,65.0,(4.700895197828276-6.088623991750802j)
131,65.5,(4.7553468323773025-6.143167774738798j)
132,66.0,(4.80330580018193-6.201181490672192j)
133,66.5,(4.84828900046718-6.2669945183859985j)
134,67.0,(4.895728939414402-6.34186584896809j)
135,67.5,(4.950634533310432-6.423598136360974j)
136,68.0,(5.015786634562521-6.507523752056116j)
137,68.5,(5.090651518559913-6.588147165150461j)
138,69.0,(5.171381583078893-6.661436958297937j)
139,69.5,(5.252553937319057-6.726638512170214j)
140,70.0,(5.329493063019015-6.78634687828529j)
141,70.5,(5.39992758970384-6.845440058695994j)
142,71.0,(5.465014117351688-6.909344712579293j)
143,71.5,(5.529079880746812-6.9816862244059905j)
144,72.0,(5.597715922519022-7.062740282268887j)
145,72.5,(5.675612240016872-7.149512917947343j)
146,73.0,(5.764895515794142-7.2367485120574235j)
147,73.5,(5.86404369764121-7.318870705337485j)
148,74.0,(5.968453552673957-7.3924849504117205j)
149,74.5,(6.072570128502045-7.457679858372654j)
150,75.0,(6.171976795754948-7.517781521821044j)
151,75.5,(6.265080750661771-7.578273423545476j)
152,76.0,(6.354101374628194-7.644624510375618j)
153,76.5,(6.44418804034848-7.7198078602710725j)
154,77.0,(6.541252561450649-7.803218174421699j)
155,77.5,(6.649900128004528-7.890892577266045j)
156,78.0,(6.771538432853581-7.976719965908641j)
157,78.5,(6.903520061999552-8.054994727751756j)
158,79.0,(7.040431570630152-8.122885261480004j)
159,79.5,(7.176352830047767-8.181285263862861j)
160,80.0,(7.306973216576301-8.234532689986098j)
161,80.5,(7.431589679539269-8.288948398689964j)
