,time [ns],amplitude [MHZ]
109,109.0,-4.6722306018133715
110,110.0,-4.2830116561763
111,111.0,-3.9634428500509773
112,112.0,-3.7184430174969076
113,113.0,-3.5153944113909352
114,114.0,-3.3467837962505222
115,115.0,-3.255621128490901
116,116.0,-3.2866247779112787
117,117.0,-3.431632735716919
118,118.0,-3.646085246589005
119,119.0,-3.915121473681647
120,120.0,-4.271738750967788
121,121.0,-4.73996206618376
122,122.0,-5.286871026034874
123,123.0,-5.849802247080208
124,124.0,-6.399862862467383
125,125.0,-6.951930337798901
126,126.0,-7.507115950806033
127,127.0,-8.015247348897335
128,128.0,-8.408599149412302
129,129.0,-8.655998294057573
130,130.0,-8.768410440362654
131,131.0,-8.752390661739438
132,132.0,-8.580054508958813
133,133.0,-8.21640933791143
134,134.0,-7.662726606806696
135,135.0,-6.966248597075838
136,136.0,-6.187804188883728
137,137.0,-5.366379295834479
138,138.0,-4.525033117934458
139,139.0,-3.7054666453169136
140,140.0,-2.986791680383557
141,141.0,-2.4587838972429994
142,142.0,-2.170113848625503
143,143.0,-2.1157385799469566
144,144.0,-2.277167444137161
145,145.0,-2.659329038111141
146,146.0,-3.2703238026179453
147,147.0,-4.063371235746117
148,148.0,-4.928532754405711
149,149.0,-5.7529253418894735
150,150.0,-6.468166961781217
151,151.0,-7.031727730546798
152,152.0,-7.3778392318374655
153,153.0,-7.419104773251113
154,154.0,-7.105558103284625
155,155.0,-6.461242577524781
156,156.0,-5.566569743377593
157,157.0,-4.519372403573304
158,158.0,-3.4143172680814815
159,159.0,-2.35407603908319
160,160.0,-1.461310496625272
161,161.0,-0.8670349201923307
162,162.0,-0.6698654446696063
163,163.0,-0.8863744855744268
164,164.0,-1.4494286973241122
165,165.0,-2.258628564656137
166,166.0,-3.2205790796944807
167,167.0,-4.231187418953277
168,168.0,-5.134502116383979
169,169.0,-5.748409394973821
170,170.0,-5.945606565916154
171,171.0,-5.693886103351302
172,172.0,-5.032996776417396
173,173.0,-4.03771931258167
174,174.0,-2.8176627268681904
175,175.0,-1.5349428131173755
176,176.0,-0.38979086621044023
177,177.0,0.4202050645387464
178,178.0,0.755423944454806
179,179.0,0.5829892585457869
180,180.0,-0.02336033171564063
181,181.0,-0.932925824331386
182,182.0,-2.0055012091802826
183,183.0,-3.080165180759091
184,184.0,-3.9489501887871055
185,185.0,-4.405434565891046
186,186.0,-4.333514317181523
187,187.0,-3.743276106728953
188,188.0,-2.7379795017794115
189,189.0,-1.4697512103732893
190,190.0,-0.13028134442663758
191,191.0,1.061442147991337
192,192.0,1.8977732804184628
193,193.0,2.22386905617067
194,194.0,1.9844496077626244
195,195.0,1.2561313602740096
196,196.0,0.225862676433706
197,197.0,-0.8871949600085841
198,198.0,-1.8952367685315752
199,199.0,-1.176144283064121
200,200.0,-8.014704182901526e-16
